accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0.00022831570822745562,0.5,0.0,87578.0,9334.22265625,0.00022831570822745562,1.0,0.0,20.0
0.0002968104381579906,0.5000114440917969,0.0,87572.0,14736.931640625,0.0002968104381579906,1.0,0.0,26.0
0.00013698943075723946,0.5,0.0,87586.0,8703.146484375,0.00013698943075723946,1.0,0.0,12.0
0.00011415785411372781,0.5,0.0,87588.0,13121.119140625,0.00011415785411372781,1.0,0.0,10.0
0.00013698943075723946,0.5000057220458984,0.0,87586.0,8092.19189453125,0.00013698943075723946,1.0,0.0,12.0
0.00013698943075723946,0.5,0.0,87586.0,9825.630859375,0.00013698943075723946,1.0,0.0,12.0
0.00015982100740075111,0.5,0.0,87584.0,9609.8056640625,0.00015982100740075111,1.0,0.0,14.0
0.00011415785411372781,0.5000970363616943,0.0,87588.0,7736.86865234375,0.00011415785411372781,1.0,0.0,10.0
0.00013699255941901356,0.5,0.0,87584.0,9614.9560546875,0.00013699255941901356,1.0,0.0,12.0
0.0002739851188380271,0.5,0.0,87572.0,13267.033203125,0.0002739851188380271,1.0,0.0,24.0
